Ciment,Argile,Alumine,Verre,Chamotte,Conductivité thermique,Résistance Mécanique
6.38,7.38,45.0,24.11,16.55,0.14,22.11
7.45,6.36,44.81,24.63,16.75,0.14,22.11
7.5,7.04,44.36,23.92,17.18,0.14,22.11
5.91,7.37,45.0,24.69,16.56,0.14,22.11
6.52,7.36,44.91,24.42,16.8,0.14,22.11
6.29,7.41,45.0,23.8,16.73,0.14,22.11
5.42,7.4,45.0,24.33,17.47,0.14,22.11
7.1,7.19,44.28,24.28,17.14,0.14,22.11
6.58,6.87,45.0,24.22,16.59,0.14,22.11
6.7,7.36,45.0,24.03,16.87,0.14,22.11
5.75,7.16,45.0,23.82,16.58,0.14,22.11
5.98,6.51,45.0,23.4,17.32,0.14,22.11
7.41,7.26,44.99,23.33,17.02,0.14,22.11
6.36,7.2,45.0,24.54,16.9,0.14,22.11
6.74,6.47,45.0,24.44,17.06,0.14,22.11
6.62,6.44,45.0,23.41,17.34,0.14,22.11
7.45,6.42,45.0,22.57,16.63,0.14,22.11
6.71,6.65,45.0,24.19,16.45,0.14,22.11
5.88,6.65,45.0,24.3,16.84,0.14,22.11
6.88,6.49,45.0,24.42,17.14,0.14,22.11
5.93,6.94,45.0,23.62,17.07,0.14,22.11
6.01,6.83,45.0,24.55,17.36,0.14,22.11
5.33,7.35,45.0,24.87,16.8,0.14,22.11
6.44,6.34,45.0,24.93,17.25,0.14,22.11
6.55,7.33,45.0,23.39,16.48,0.14,22.11
6.6,7.12,44.97,23.88,17.43,0.14,22.11
6.92,7.38,43.9,24.43,17.37,0.14,22.11
5.28,9.57,42.94,25.25,16.96,0.15,22.8
7.25,10.0,42.81,22.8,17.14,0.15,22.8
5.46,9.28,43.36,24.93,16.97,0.15,22.8
6.68,8.93,44.27,23.71,16.41,0.15,22.8
5.62,8.85,45.0,22.54,16.29,0.15,22.8
5.33,9.19,43.76,25.03,16.7,0.15,22.8
5.36,9.06,42.55,25.7,17.32,0.15,22.8
7.41,9.31,43.94,22.87,16.47,0.15,22.8
5.35,8.9,43.55,25.37,16.83,0.15,22.8
